ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
512,512,930.69,32,65.63,34.850,31,68.81,31042956
1024,512,1757.85,32,68.18,14.521,31,68.47,0
